"Marinette"|"Adrien"|0.608803868293762|0|" They're so in sync with each other."|"2"|"44"|"Anansi"
"Adrien"|"Marinette"|0.502163767814636|0.625|"You're right. Someday I hope I'll find someone I can share everything with…like they do.But until my father starts letting me go out more often, that probably won't be happening."|"2"|"44"|"Anansi"
"Marinette"|"Adrien"|-0.731830596923828|-0.077|"Are you sure your dad won't let you come? It's such a bummer."|"2"|"44"|"Anansi"
"Adrien"|"Nino"|-0.381761193275452|0|"You know how overprotective he is. One day he'll realize I'm not a child anymore, but we're not quite there yet. "|"2"|"44"|"Anansi"
"Nino"|"Marinette"|0.656136512756348|0|" Big finish, here we go!"|"2"|"44"|"Anansi"
"Marinette"|"Nino"|-0.237223148345947|0.114|" You don't wanna miss this. "|"2"|"44"|"Anansi"
"Nino"|"Nora"|0.261122941970825|0.359|"Yeah! "|"2"|"44"|"Anansi"
"Nora"|"Alya"|-0.186432898044586|-0.459|" Aw, shoot. Did I miss the ballet?"|"2"|"44"|"Anansi"
"Alya"|"Nora"|-0.16407573223114|0|" Nora, is your match over already?"|"2"|"44"|"Anansi"
"Nora"|"Alya"|-0.182318806648254|0.361|"First round: total knockout. Huh-huh-huh.As usual.I told you a hundred times not to call me Nora in front of people, little sis.The name is Anansi, like a spider."|"2"|"44"|"Anansi"
"Alya"|"Nora"|0.0543692111968994|0.026|" Sure, I'll call you Anansi when you stop calling me 'little sis'."|"2"|"44"|"Anansi"
"Nora"|"Alya"|0.217986702919006|0|" Anyway, what are you all still doing here this late? Don't you have school tomorrow?"|"2"|"44"|"Anansi"
"Alya"|"Nora"|0.438929319381714|0|" We're waiting for it to get dark. It's the World Cup fireworks show tonight, remember? We're gonna watch from the Ferris wheel."|"2"|"44"|"Anansi"
"Nora"|"Marinette"|-0.540784746408463|-0.709|"Oh no! Baguette and cappie can go with cellphone Boy if they want, but you're staying here.It's way too dangerous."|"2"|"44"|"Anansi"
"Marinette"|"Nino"|-0.622961282730103|0|" But Nora—I mean, Anansi, you can't do that!"|"2"|"44"|"Anansi"
"Nino"|"Alya"|-0.586801618337631|0|" Yeah, no way dude, we're not going without Alya!"|"2"|"44"|"Anansi"
"Alya"|"Nora"|-0.21133279800415|0.548|" Listen, I appreciate you worrying about me and all, but I'm not a little girl anymore. Besides, Mom and Dad are totally cool with it."|"2"|"44"|"Anansi"
"Nora"|"Alya"|-0.533508867025375|0.493|" Tsk-tsk-tsk-tsk, there have been way too many akumatized peeps in Paris these last few weeks. Look how many times you've been in direct danger.So you're staying home, safe and sound, period!"|"2"|"44"|"Anansi"
"Alya"|"Nora"|-0.754140853881836|-0.474|" That's so ridiculous! The twins were akumatized right here at home. "|"2"|"44"|"Anansi"
"Nora"|"Alya"|-0.733468651771545|0.496|" Well, that would've never happened on my watch. I won't let anybody mess with my family."|"2"|"44"|"Anansi"
